day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd
15,0.5438403632173235,5382,0.8056484578223558,0.6648985239852476,0.0008165655982600925,0.06468875598073029,-0.03482621908187866,0.7413118481636047,0.7169502526521683
all,0.5465758271881429,23314,0.8084412799176427,0.6669142614601036,0.0007748738805660868,0.2925777774858462,-0.029113829135894775,0.7455623149871826,0.7197659611701965
16,0.45706377236666507,1861,0.7291778613648184,0.6337509211496217,0.0008202582145712511,0.013258137274980574,0.00876307487487793,0.7710740566253662,0.7160351425409317
17,0.4799042878355799,2434,0.7374691865242097,0.6423398328691008,0.0006037332466587208,0.025630413563251537,0.029282689094543457,0.7785093486309052,0.72344571352005
18,0.5563968558925857,4563,0.7782160859083765,0.6814981695297189,0.0005616460406942099,0.055502525293827154,-0.03587573766708374,0.7989078760147095,0.7444143891334534
19,0.5202999247651492,3281,0.7592197500761731,0.6912886391007751,0.0008168086389295152,0.04195396981954584,0.01435840129852295,0.7930510938167572,0.7390439510345459
all,0.5101463572784866,12082,0.759394140043033,0.6691008174386956,0.000984885036740198,0.13673731401801023,0.015250682830810547,0.7889521718025208,0.7348848730325699
20,0.5768795164358993,3931,0.8239633680996992,0.6724297622723163,0.00045004418733800533,0.061984957650899994,0.005700826644897461,0.907571017742157,0.8569398820400238
21,0.6033568107443875,5018,0.804304503786353,0.6954905847373714,0.0006365066721014355,0.09578475478887545,-0.009254097938537598,0.8865757584571838,0.8547663390636444
22,0.5961572856830712,6169,0.8244448046684905,0.6977978765237968,0.00030534454421068843,0.10712273065328523,-0.022739529609680176,0.8897929340600967,0.8526864051818848
23,0.5507738158645741,1755,0.7680911680911243,0.6476261127596701,0.000601861565487883,0.017842388228178078,0.005147576332092285,0.9067589044570923,0.8600132167339325
all,0.5923425993888213,16844,0.8137022085015388,0.6851743761856144,0.0005233692740326707,0.28310542816043094,-0.021227717399597168,0.895048975944519,0.8550420999526978
24,0.5521133150062181,1321,0.8213474640423299,0.6294930875576379,0.00026200995065614837,0.016804647624492658,0.015030860900878906,0.9372605681419373,0.9173762798309326
25,0.5936831059922903,3178,0.8058527375707739,0.7137836782506946,0.0019020006652304326,0.06606901770591739,0.07864594459533691,0.9201592803001404,0.9052893221378326
26,0.6092113750659364,3820,0.829581151832439,0.6648785105711686,0.00039663853370074315,0.058805644623041026,0.0026007890701293945,0.9056322574615479,0.8966474235057831
27,0.6229335195689082,4318,0.805465493283909,0.6894767107533154,0.00044904290308116787,0.06528687399387376,-0.0670282244682312,0.9033327251672745,0.8899473249912262
all,0.6061005782727028,12585,0.8139849026618926,0.6828387348691949,0.001850958485782818,0.20950887676477511,0.025803208351135254,0.9123912751674652,0.8992223739624023
28,0.6437280792207805,3291,0.8848374354299336,0.7218406593406689,0.00025641601661910483,0.08105391096711159,0.024565577507019043,0.9592921137809753,0.9557778835296631
29,0.6283067642446927,2824,0.866147308781839,0.6974652493867662,0.000287649548444894,0.06055785840749734,-0.025275588035583496,0.9590595364570618,0.9566898047924042
30,0.5634141436044403,1247,0.8460304731354574,0.6578199052133026,0.00029946359549787993,0.02056687805056573,0.0026715993881225586,0.963662177324295,0.9573629796504974
31,0.5686196648154298,1296,0.8688271604937601,0.6509769094138853,0.00031890035655455254,0.022561699265241614,0.006601929664611816,0.9624452292919159,0.9550479054450989
all,0.6142230381853252,8660,0.8712471131639622,0.6950298210735627,0.0002662296180708188,0.1845652308082591,0.009094595909118652,0.9603108465671539,0.9561795443296432
32,0.6419709851050107,3296,0.873179611650459,0.7081306462821505,0.00023223998676028071,0.06901796840906153,0.04627823829650879,0.9620433449745178,0.9459990859031677
33,0.6537474519575207,4213,0.8656539283170931,0.7288182067452775,0.0005426444700255957,0.11367453190326755,-0.004026174545288086,0.949847936630249,0.9449751377105713
34,0.6469527178138875,4554,0.8783487044356416,0.759250000000006,0.0002871989951041001,0.13591934035778047,-0.03199690580368042,0.9508171081542969,0.9427974671125412
35,0.6221932131376229,2438,0.8687448728465599,0.6997167138810341,0.00031100548544017964,0.0532189624738694,-0.008506953716278076,0.969894215464592,0.9563185274600983
all,0.6427877445134667,14458,0.8721123253561981,0.7273376159885818,0.0005036063441626491,0.3686770000815355,0.0011900663375854492,0.9572650492191315,0.9466732740402222
36,0.6883250451943951,3354,0.9087656529516723,0.7493438320210056,0.000290478495690295,0.1054193772363659,-0.029208600521087646,0.9665488749742508,0.9642934501171112
37,0.6862468936555581,3103,0.9058975185304252,0.757381714692289,0.00018007174827034666,0.09471132120728473,-0.01822185516357422,0.9622613340616226,0.9631617665290833
38,0.47790301502465843,4909,0.53778773680993,0.6693181818181944,0.028196444313491005,-0.024976100094318388,-0.056948840618133545,0.9699487388134003,0.9602863490581512
39,0.2971709111362029,11936,0.46799597855227487,0.7382742570712542,0.12087865052334475,-0.12066366799235337,-0.1633390188217163,0.9388343244791031,0.9269319623708725
all,0.5426586604600595,22883,0.6218590219813809,0.7305692199578375,0.11641906995646478,0.06826469953536994,-0.24816089868545532,0.9562805891036987,0.9479392617940903
40,0.3707718961483358,6006,0.5657675657675564,0.721895232489708,0.012304525581409218,0.006919053595066221,-0.04449629783630371,0.503862202167511,0.5014795660972595
41,0.3943598081803002,8087,0.5690614566588281,0.7049109083007452,0.01416807156984367,0.03696131325602534,0.04240226745605469,0.5070187747478485,0.5029015839099884
42,0.3985706901308134,5415,0.5940904893813371,0.6770282872241319,0.004284920804852471,0.005935168702602351,-0.09426999092102051,0.5682209134101868,0.5618903040885925
43,0.4039562269772515,3918,0.5916283818274479,0.6846419327006176,0.009312678517064812,-0.006689451439380663,0.00424957275390625,0.6153071224689484,0.6301692724227905
all,0.39238814164224367,21141,0.5837945224918378,0.6863555339491194,0.02012292868485545,0.015240227966309252,-0.09525692462921143,0.5460068583488464,0.5479523837566376
