day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd,,,,,,
all,0.591506854,24719,0.758970832,0.619210063,0.003343993,0.178327081,-0.136011124,0.812931746,0.802549779,,,,,,
all,0.409788779,87623,0.816714789,0.730559088,0.000664215,1.841196189,-0.158636093,0.80430305,0.788480729,,,,,,
all,0.389985217,12300,0.754878049,0.773721055,0.001264475,0.273421729,0.039919496,0.641980559,0.60662891,,,,,,
all,0.546575827,23314,0.80844128,0.666914261,0.000774874,0.292577777,-0.029113829,0.745562315,0.719765961,,,,,,
all,0.510146357,12082,0.75939414,0.669100817,0.000984885,0.136737314,0.015250683,0.788952172,0.734884873,,,,,,
all,0.592342599,16844,0.813702209,0.685174376,0.000523369,0.283105428,-0.021227717,0.895048976,0.8550421,,,,,,
all,0.606100578,12585,0.813984903,0.682838735,0.001850958,0.209508877,0.025803208,0.912391275,0.899222374,,,,,,
all,0.614223038,8660,0.871247113,0.695029821,0.00026623,0.184565231,0.009094596,0.960310847,0.956179544,,,,,,
all,0.642787745,14458,0.872112325,0.727337616,0.000503606,0.368677,0.001190066,0.957265049,0.946673274,,,,,,
all,0.54265866,22883,0.621859022,0.73056922,0.11641907,0.0682647,-0.248160899,0.956280589,0.947939262,,,,,,
all,0.392388142,21141,0.583794522,0.686355534,0.020122929,0.015240228,-0.095256925,0.546006858,0.547952384,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0.635398121,0.594817537,0.551664106,0.559731696,,,,,,,,,,,,
0.532253574,0.380101686,0.365095192,0.321469274,,,,,,,,,,,,
0.418274106,0.341509413,0.345189218,0.441261611,,,,,,,,,,,,
0.538232246,0.542571157,0.559908079,0.543840363,,,,,,,,,,,,
0.457063772,0.479904288,0.556396856,0.520299925,,,,,,,,,,,,
0.576879516,0.603356811,0.596157286,0.550773816,,,,,,,,,,,,
0.552113315,0.593683106,0.609211375,0.62293352,,,,,,,,,,,,
0.643728079,0.628306764,0.563414144,0.568619665,,,,,,,,,,,,
0.641970985,0.653747452,0.646952718,0.622193213,,,,,,,,,,,,
0.688325045,0.686246894,0.477903015,0.297170911,,,,,,,,,,,,
0.370771896,0.394359808,0.39857069,0.403956227,,,,,,,,,,,,
0.550455514,0.536236811,0.515496607,0.495659111,,,,,,,,,,,,
