day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd
0,0.6369967861819031,6959,0.795085500790332,0.6401590457256526,0.002552423622608213,0.07079969395160686,-0.08667153120040894,0.8565596044063568,0.8188587129116058
1,0.5932591164865537,8058,0.754405559692222,0.642375390689264,0.0008862140444448977,0.060768821777105665,-0.007280111312866211,0.8522552847862244,0.8247583508491516
2,0.5626433653024633,2123,0.7654262835609625,0.6172307692307928,0.001060340066962008,0.01778021870851517,-0.026477456092834473,0.8709900081157684,0.8352959454059601
3,0.5600084813398495,6233,0.752286218514347,0.6530177010023533,0.0012276377291932175,0.052154773707390155,-0.021993935108184814,0.8522805273532867,0.8163536638021469
3,0.5600084813398495,23247,0.7665935389512593,0.6424443072779324,0.002691689472198444,0.20169807953834498,-0.13601112365722656,0.8556897193193436,0.8223009556531906
4,0.528685705343752,15519,0.8176428893614227,0.6985578059736803,0.0005254210563720639,0.26331371394157205,-0.09273093938827515,0.8328108340501785,0.8045983612537384
5,0.38309675146019395,20056,0.7994116473873116,0.6752947046716169,0.000489601951097485,0.2796591088604931,-0.011088073253631592,0.8241391181945801,0.794352188706398
6,0.36679260245780404,21012,0.8032552826955988,0.7417348027017434,0.0008628593308709029,0.5035126790559217,-0.06229114532470703,0.846319317817688,0.8009179532527924
7,0.31981890090232595,24973,0.8094742321707412,0.7723472668810301,0.0007108520692081493,0.6623420801389148,-0.001849055290222168,0.8503019958734512,0.7932269275188446
7,0.31981890090232595,81462,0.8066460435540488,0.7260428238803249,0.0006902847393192844,1.7121104627192099,-0.15863609313964844,0.8398800790309906,0.7979052066802979
8,0.388075394104274,3385,0.752732644017703,0.8269230769230838,0.0010189933223447988,0.10189142298817637,0.0327526330947876,0.6405494660139084,0.6341438293457031
9,0.3304362462130915,1620,0.6388888888888494,0.7449275362319088,0.002922136052111916,0.016840072548389463,0.014588475227355957,0.6761063933372498,0.6451184004545212
10,0.3456613197021632,1834,0.677753544165721,0.7707160096540813,0.0015063797453848866,0.03096692271471021,0.029000401496887207,0.6902088522911072,0.6618142277002335
11,0.4511005709626754,4370,0.7656750572082205,0.7349073520621717,0.0007351699728915487,0.07572586618781096,-0.03571045398712158,0.6900759935379028,0.6823076456785202
11,0.4511005709626754,10984,0.7279679533867377,0.7611305652826443,0.0025262275628577025,0.21026210603594864,0.039919495582580566,0.6737242341041565,0.6610934138298035
12,0.5308506700820467,4518,0.8052235502434527,0.6946124244090244,0.0006948279461019035,0.07043419832587242,0.01055288314819336,0.7574793696403503,0.7447497099637985
13,0.535281240552909,4857,0.8083178917026805,0.6999490575649592,0.0004151971232745299,0.08199656150221814,-0.04530048370361328,0.7522287964820862,0.7366616129875183
14,0.5527512587024671,5635,0.8122448979591692,0.6797028621367778,0.0004630137117678407,0.08142839100837668,0.04042685031890869,0.7532694041728973,0.7369035482406616
15,0.5340461542599982,4490,0.8106904231625655,0.6879120879120966,0.0005662400102796623,0.06717545141458506,-0.03482621908187866,0.7503255605697632,0.7289245426654816
15,0.5340461542599982,19510,0.8090210148641681,0.6912696401419178,0.000592277964713311,0.301846826539038,-0.029113829135894775,0.7533867657184601,0.7367172092199326
16,0.4618703371738399,1736,0.7528801843317539,0.6465187452180836,0.0006418853624383093,0.01735877292275429,0.00876307487487793,0.809143602848053,0.7957003712654114
17,0.4930404942489808,2367,0.7621461765948135,0.6552106430155402,0.0004173065162039503,0.029795410183668207,0.029282689094543457,0.8066353797912598,0.7972626090049744
18,0.5747697825954559,4766,0.8069660092320435,0.6783671346853958,0.00032033860932015123,0.06726811637759189,-0.03587573766708374,0.8294078707695007,0.8221415281295776
19,0.5288616722532332,3242,0.7797655768044176,0.7049050632911509,0.0008910287318886062,0.04763167845726024,0.01435840129852295,0.8212412446737289,0.8166694343090057
19,0.5288616722532332,12102,0.7835068583705108,0.6753849398861034,0.0006976369191151053,0.1618520057415962,0.015250682830810547,0.819854661822319,0.8129672706127167
20,0.5868464085377708,4060,0.8278325123152506,0.6617078250520779,0.0004257976986652283,0.0639157927989963,0.005700826644897461,0.932485818862915,0.8878586739301682
21,0.610063362871963,5071,0.8144350226779568,0.7031476997578765,0.0007025181756043234,0.10121613994479119,-0.009254097938537598,0.9133407473564148,0.8908252716064453
22,0.5934326893445169,6183,0.8366488759501725,0.7019137831045872,0.00041175428675092706,0.11465546194314905,-0.022739529609680176,0.9156361073255539,0.8879007995128632
23,0.5632786832091858,1805,0.7927977839334741,0.6366177498253224,0.0010097065768477711,0.019915623152256076,0.005147576332092285,0.9342420697212219,0.8967616558074951
23,0.5632786832091858,17069,0.8220165211787404,0.6864799372817356,0.0007710892806152089,0.29960273906111845,-0.021227717399597168,0.921352744102478,0.8897783309221268
24,0.5730157871767987,1427,0.8500350385423371,0.6397361912613653,0.00024056657801598138,0.02044353547215468,0.015030860900878906,0.9711178541183472,0.9317612051963806
25,0.6060138085958379,3331,0.8402882017411936,0.6920328688817545,0.0018803891209981276,0.07273305895447733,0.07864594459533691,0.9558573663234711,0.9110713601112366
26,0.6214875096646355,4049,0.8523092121511274,0.6853086062011102,0.0003108110503076017,0.06591550814986216,0.0026007890701293945,0.9433784186840057,0.9046897292137146
27,0.6325286363626065,4522,0.823971693940716,0.6964573268921177,0.00042795804529812586,0.07558362934827831,-0.0670282244682312,0.9424577355384827,0.903385117650032
27,0.6325286363626065,13272,0.839285714285708,0.6856988957716161,0.0018216689526903726,0.23554781887769935,0.025803208351135254,0.9504339694976807,0.9090622961521149
